"","ID","Curso","Fecha_inicio","Fecha_fin","Estado","Puntuacion","Sexo","Fecha_registro","Ultimo_login","Fecha_nacimiento","Ciudad","Pais","Desempleado","Nivel_estudios","Tiempo_exp_laboral","Tiempo_reg_serv_emp","Tiempo_desemp","Edad","Tiempo_curso","Provincia"
"1",16807,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-21,2019-11-26,1947-07-18,"otavalo","Ecuador","SI","Máster/Posgrado","Más de 2 años","No tiene","No tiene",72.87,NA,"Imbabura"
"2",6163,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-20,2019-11-20,1952-02-14,"quito","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,68.29,NA,"Pichincha"
"3",11583,"Metodologias_Agiles_Lean",2019-12-04,2019-12-10,"Aprobado",91,"Hombre",2019-11-22,2020-02-06,1954-05-12,"quito","Ecuador","NO","Licenciatura",NA,NA,NA,66.05,7,"Pichincha"
"4",7278,"Metodologias_Agiles_Lean",2019-12-14,2019-12-15,"Aprobado",91,"Mujer",2019-09-30,2019-12-15,1954-10-25,"quito","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,65.59,2,"Pichincha"
"5",10890,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-09-22,2019-09-25,1955-04-24,"quito","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,65.1,NA,"Pichincha"
"6",15258,"Metodologias_Agiles_Lean",2019-10-01,NA,"Iniciado",0,"Hombre",2019-09-25,2019-10-01,1955-08-06,"esmeraldas","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,64.81,NA,"Esmeraldas"
"7",7618,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-21,2019-11-21,1955-09-26,"riobamba","Ecuador","NO","Bachillerato",NA,NA,NA,64.67,NA,"Chimborazo"
"8",16618,"Metodologias_Agiles_Lean",2019-12-02,NA,"Iniciado",0,"Hombre",2019-11-21,2019-12-02,1955-10-22,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,64.6,NA,"Imbabura"
"9",5325,"Metodologias_Agiles_Lean",2019-12-12,2019-12-14,"Aprobado",90,"Hombre",2019-11-22,2019-12-24,1955-11-14,"tena","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,64.54,3,"Napo"
"10",12439,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-12-08,2019-12-10,1956-02-04,"sucumbios / lago agrio","Ecuador","NO","Licenciatura",NA,NA,NA,64.32,NA,"Sucumbios"
"11",17435,"Metodologias_Agiles_Lean",2019-12-23,2019-12-23,"Aprobado",90,"Mujer",2019-11-22,2019-12-27,1956-02-15,"lago agrio","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,64.28,1,"Sucumbios"
"12",14721,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-21,2019-11-21,1956-09-18,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,63.69,NA,"Imbabura"
